customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Target,Tenure_Group,Service_Count,Estimated_Billed_Value,Charge_per_Tenure_Month,Streaming_Adoption,Churn_Probability,Risk_Band,Expected_Revenue_at_Risk,Normalized_Value,Retention_Priority_Score,High_Value,High_Risk,Retention_Segment
9090-SGQXL,Male,1,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,7299.65,Yes,1,49-72,5,7160.4,107.34779411764706,1,0.508057032636691,Medium,77.35375109910964,0.8371155288822204,0.4253024315779951,True,True,Priority Retention
4550-VBOFE,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.95,7101.5,Yes,1,49-72,5,7206.5,101.45,1,0.4652095365043534,Medium,74.8729504108429,0.8425192235558889,0.39194797748644283,True,True,Priority Retention
6646-VRFOL,Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,5485.5,Yes,1,49-72,5,5504.049999999999,103.5,1,0.5875165695190652,Medium,82.097855463624,0.6429634752438108,0.3777516953013001,True,True,Priority Retention
7056-IMHCC,Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.9,5549.4,Yes,1,49-72,4,5400.700000000001,104.70566037735848,1,0.5897125201091635,Medium,80.55629727244377,0.6308491185296324,0.37201962349675394,True,True,Priority Retention
4484-GLZOU,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,49-72,5,5462.599999999999,108.17019230769232,1,0.5725799301647699,Medium,80.82288407385349,0.6381048387096773,0.3653660239861888,True,True,Priority Retention
1469-LBJQJ,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2,6936.85,No,0,49-72,5,6943.2,105.10378787878788,1,0.44344476495351015,Medium,74.13819525241853,0.8116560390097524,0.3599246214417767,True,True,Priority Retention
8634-MPHTR,Male,1,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,4871.05,Yes,1,25-48,4,4702.349999999999,103.63936170212766,1,0.6425463257600821,High,82.06533013880252,0.5489907633158289,0.3527519978448087,True,True,Priority Retention
4062-HBMOS,Male,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.05,5364.8,No,0,49-72,5,5358.599999999999,103.16923076923078,1,0.5565343955423054,Medium,79.67210907340049,0.6259142910727681,0.3483428316434736,True,True,Priority Retention
4433-JCGCG,Male,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,4680.05,Yes,1,25-48,4,4646.0,101.74021739130436,1,0.6413992817263381,High,82.21890139579773,0.5423855963990997,0.34788573194909406,True,True,Priority Retention
0324-BRPCJ,Female,1,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,6851.65,Yes,1,49-72,4,6813.6,100.7595588235294,1,0.42539894793096467,Medium,70.08237125873566,0.7964647411852963,0.3388152629643331,True,True,Priority Retention
0946-CLJTI,Male,1,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5812.6,Yes,1,49-72,4,5724.6,100.21724137931037,1,0.5044284844188324,Medium,73.42532447576524,0.6688156414103525,0.33736966035223337,True,True,Priority Retention
8818-DOPVL,Female,1,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.45,4863.85,No,0,25-48,5,4804.7,105.7358695652174,1,0.6002135433530047,High,81.93658014535904,0.5609879032258064,0.33671253717333377,True,True,Priority Retention
8938-UMKPI,Female,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,5127.95,Yes,1,25-48,5,5000.8,109.10531914893616,1,0.5751287807869218,Medium,81.57674360275269,0.5839741185296323,0.33586032280106476,True,True,Priority Retention
0895-DQHEW,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.3,5278.15,Yes,1,49-72,5,5632.2,97.74351851851851,1,0.5076458505846141,Medium,78.3019013762474,0.6579848087021755,0.33402325788537046,True,True,Priority Retention
2378-VTKDH,Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.35,6578.55,No,0,49-72,5,6782.75,101.20846153846152,1,0.4206713783830597,Medium,73.64847570359707,0.7928486027756938,0.33352871457873406,True,True,Priority Retention
5630-IXDXV,Female,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,4849.1,No,0,25-48,5,4998.45,103.17234042553191,1,0.5688697250918269,Medium,81.14512094557284,0.5836986590397598,0.33204849570441614,True,True,Priority Retention
3384-CTMSF,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.1,5135.15,No,0,25-48,5,4892.7,109.25851063829786,1,0.5801663540866516,Medium,80.58487161397933,0.5713029819954988,0.3314507681431605,True,True,Priority Retention
7901-TBKJX,Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,No,0,49-72,4,5658.8,99.89285714285714,1,0.49533681874559754,Medium,74.36421729922294,0.6611027756939234,0.32746854577611234,True,True,Priority Retention
1013-QCWAM,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,6690.75,No,0,49-72,4,6652.8,101.375,1,0.4198958262722834,Medium,70.34057521820068,0.7776162790697674,0.32651783002277845,True,True,Priority Retention
7142-HVGBG,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.0,4414.3,Yes,1,25-48,5,4429.0,102.65813953488372,1,0.6270961149794798,High,83.01955878734589,0.5169495498874718,0.32417705437482436,True,True,Priority Retention
8276-MQBYC,Male,1,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.8,4913.3,Yes,1,49-72,4,4987.8,96.33921568627451,1,0.5555417261517454,Medium,76.2217224240303,0.5824503000750187,0.32357544510127795,True,True,Priority Retention
2786-GCDPI,Female,1,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.95,5222.35,No,0,49-72,5,5247.5,104.447,1,0.5268770777559834,Medium,80.66296722888947,0.6128915041260314,0.32291848467539264,True,True,Priority Retention
4446-BZKHU,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.55,6281.45,Yes,1,49-72,5,6438.55,102.97459016393442,1,0.4258595751318839,Medium,73.95317723751067,0.7525025787696924,0.3204604284805082,True,True,Priority Retention
5647-FXOTP,Female,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6401.25,No,0,49-72,5,6354.0,106.6875,1,0.42736236126856725,Medium,71.85138856172561,0.7425918979744935,0.31735582697728654,True,True,Priority Retention
1343-EHPYB,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,49-72,5,6514.200000000001,104.8095238095238,1,0.416738616572417,Medium,72.60748569965362,0.7613700300075019,0.317292293005026,True,True,Priority Retention
