customerID,Churn_Probability,Risk_Band,Contract,tenure,MonthlyCharges,Estimated_Billed_Value,Expected_Revenue_at_Risk,Retention_Priority_Score,Retention_Segment
9090-SGQXL,0.50137883,Medium,Month-to-month,68,105.3,7160.4,3590.0730047464367,0.4197120080015217,Loyal / High Value
4550-VBOFE,0.48037946,Medium,Month-to-month,70,102.95,7206.5,3461.8545946478844,0.4047289315404319,Loyal / High Value
1469-LBJQJ,0.46165523,Medium,Month-to-month,66,105.2,6943.2,3205.3645882844926,0.37470525482617767,Loyal / High Value
0324-BRPCJ,0.4698535,Medium,Month-to-month,68,100.2,6813.6,3201.393743491173,0.37422173877860804,Loyal / High Value
0895-DQHEW,0.55253637,Medium,Month-to-month,54,104.3,5632.2,3111.9953339338304,0.36356053664296617,Loyal / High Value
6646-VRFOL,0.5645483,Medium,Month-to-month,53,103.85,5504.049999999999,3107.3021455675357,0.36298394566667325,Loyal / High Value
5502-RLUYV,0.42925316,Medium,Month-to-month,69,103.95,7172.55,3078.8397595971824,0.35994582241317236,Loyal / High Value
2378-VTKDH,0.44891173,Medium,Month-to-month,65,104.35,6782.75,3044.8560127466917,0.35591903510513945,Loyal / High Value
7901-TBKJX,0.5357952,Medium,Month-to-month,56,101.05,5658.8,3031.9579444885253,0.3542157017191996,Loyal / High Value
7056-IMHCC,0.56008923,Medium,Month-to-month,53,101.9,5400.700000000001,3024.873907363415,0.35333179738246806,Loyal / High Value
0946-CLJTI,0.51657426,Medium,Month-to-month,58,98.7,5724.6,2957.181029248238,0.34549294742745107,Loyal / High Value
4062-HBMOS,0.5507738,Medium,Month-to-month,52,103.05,5358.599999999999,2951.3764815688132,0.3447371922050506,Loyal / High Value
1343-EHPYB,0.4481677,Medium,Month-to-month,63,103.4,6514.200000000001,2919.454106229544,0.34122146395037184,Loyal / High Value
1013-QCWAM,0.4384858,Medium,Month-to-month,66,100.8,6652.8,2917.1583383560182,0.34097369716957554,Loyal / High Value
4484-GLZOU,0.53409135,Medium,Month-to-month,52,105.05,5462.599999999999,2917.5274271726607,0.3408062769280325,Loyal / High Value
4446-BZKHU,0.44916523,Medium,Month-to-month,61,105.55,6438.55,2891.9727596104144,0.3379979901279854,Loyal / High Value
8276-MQBYC,0.57811093,Medium,Month-to-month,51,97.8,4987.8,2883.501713132858,0.3367208865794667,Loyal / High Value
